genre,theme
Canadian Post-hardcore,colère
Canadian Post-punk,colère
Canadian Post-rock,mélancolique
Canadian Psychedelic,énergique
Canadian Psychedelic Rock,mélancolique
Canadian Punk,colère
Canadian Rock,mélancolique
Canadian Rockabilly,mélancolique
Canadian Shoegaze,mélancolique
Canadian Singer-songwriter,énergique
Canadian Soundtrack,épique
Canadian Stoner Rock,mélancolique
Canadian Trap,confiant
Canadian Underground Hip Hop,confiant
Canberra Indie,mélancolique
Cancion Infantil Latinoamericana,mélancolique
Cancion Infantil Mexicana,énergique
Cancion Melodica,énergique
Cancoes Infantis,énergique
Candombe,énergique
Candomble,énergique
Candy Pop,joyeux
Cantaditas,énergique
Cantautor,énergique
Cantautor Catala,énergique
Cantautora Argentina,énergique
Cante Alentejano,énergique
Cante Flamenco,énergique
Canterbury Scene,énergique
Canti Alpini,énergique
Canto A Tenore,énergique
Canto Popular Uruguayo,joyeux
Cantonese Opera,énergique
Cantonese Traditional,énergique
Cantonese Worship,énergique
Cantopop,joyeux
Canzone D’autore,énergique
Canzone Genovese,énergique
Canzone Napoletana,énergique
Canzone Siciliane,énergique
Cape Breton Folk,mélancolique
Cape Breton Indie,mélancolique
Cape Town Indie,mélancolique
Cape Verdean Folk,mélancolique
Capoeira,énergique
Caracas Indie,mélancolique
Cardiff Indie,mélancolique
Caribbean Metal,colère
Carimbo,énergique
Carnatic,festif
Carnatic Instrumental,festif
Carnatic Vocal,festif
Carnaval,énergique
Carnaval Cadiz,énergique
Carnaval Limburg,énergique
Cartoni Animati,énergique
Cartoon,énergique
Cascadia Psych,énergique
Cascadian Black Metal,sombre
Catalan Folk,mélancolique
Cathedral Choir,énergique
Caucasian Classical,calme
Caucasian Classical Piano,calme
Caucasian Folk,mélancolique
Cavernous Death Metal,sombre
Ccm,énergique
Cdmx Indie,mélancolique
Cdo Indie,mélancolique
Cedm,énergique
Ceilidh,énergique
Cello,énergique
Celtic,énergique
Celtic Harp,énergique
Celtic Metal,colère
Celtic Punk,colère
Celtic Rock,mélancolique
Central American Metal,colère
Central Asian Folk,mélancolique
Central Asian Hip Hop,confiant
Cerkes Muzikleri,énergique
Ceske Chvaly,énergique
Cha-cha-cha,énergique
Chaabi Algerien,mystérieux
Chaabi Marocain,mystérieux
Chabad Niggunim,énergique
Chain Punk,colère
Chakra,énergique
Chalga,énergique
Chamame,énergique
Chamame Brasilero,énergique
Chamber Choir,énergique
Chamber Ensemble,énergique
Chamber Folk,mélancolique
Chamber Orchestra,énergique
Chamber Pop,joyeux
Chamber Psych,énergique
Chamorro Pop,joyeux
Champeta,énergique
Channel Islands Indie,mélancolique
Channel Pop,joyeux
Chanson,mélancolique
Chanson Humoristique,mélancolique
Chanson Paillarde,mélancolique
Chanson Quebecois,mélancolique
Chanson Virale,mélancolique
Chant Basque,énergique
Chant Religieux,énergique
Chaotic Black Metal,sombre
Chaotic Hardcore,colère
Chapman Stick,énergique
Charanga,énergique
Charango,énergique
Charlotte Nc Indie,mélancolique
Charlottesville Indie,mélancolique
Charred Death,sombre
Charva,énergique
Chasidic Pop,joyeux
Chattanooga Indie,mélancolique
Chechen Pop,joyeux
Chennai Indie,mélancolique
Chhattisgarhi Pop,joyeux
Chicago Blues,triste
Chicago Bop,énergique
Chicago Drill,confiant
Chicago Hardcore,colère
Chicago House,énergique
Chicago Indie,mélancolique
Chicago Mexican,énergique
Chicago Pop Punk,colère
Chicago Punk,colère
Chicago Rap,confiant
Chicago Soul,sensuel
Chicano Punk,colère
Chicano Rap,confiant
Chicha,énergique
Chihuahua Indie,mélancolique
Children’s Choir,énergique
Children’s Folk,mélancolique
Children’s Music,énergique
Children’s Story,énergique
Chilean Black Metal,sombre
Chilean Hardcore,colère
Chilean Indie,mélancolique
Chilean Metal,colère
Chilean Rock,mélancolique
Chilena,énergique
Chill Abstract Hip Hop,relax
Chill Baile,relax
Chill Beats,relax
Chill Breakcore,relax
Chill Drill,relax
Chill Groove,relax
Chill Guitar,relax
Chill Lounge,relax
Chill Out,relax
Chill Pop,relax
Chill R&b,relax
Chill-out Trance,énergique
Chillhop,relax
Chillstep,relax
Chillsynth,relax
Chillwave,relax
Chimurenga,énergique
Chinderlieder,énergique
Chinese Audiophile,énergique
Chinese Classical,calme
Chinese Classical Performance,calme
Chinese Classical Piano,calme
Chinese Drama Ost,énergique
Chinese Electronic,énergique
Chinese Electropop,joyeux
